Date,Miners_Revenue,Difficuly,Cost_Per_Transaction,Average_Block_Size,Total_Bitcoins,Average_Transaction_Confirmation_time
21/07/2021,28599770.53082250000,13672594272814.00,121.350010738384,1.0920549172414,18762756.25,6.775
20/07/2021,23622405.80759570000,13672594272814.00,100.800973802078,1.2860610409836,18761875,9.258333333
19/07/2021,33665753.26013760000,13672594272814.00,148.436102080385,0.9130094588235,18761075,5.775
18/07/2021,28985344.26837000000,13672594272814.00,179.896874842480,0.8038608680556,18760012.5,5.05
17/07/2021,28583415.04251020000,14348541098817.00,157.011184158542,0.7849456643357,18759112.5,5.733333333
16/07/2021,30312671.30340030000,14363025673660.00,135.647800127985,0.9305223866667,18758331.25,6.166666667
15/07/2021,26360965.37206620000,14363025673660.00,116.520794275246,1.2113098203125,18757450,9.558333333
14/07/2021,35713899.10215970000,14363025673660.00,150.084254439461,0.9098740705882,18756637.5,5.358333333
13/07/2021,28926080.15010840000,14363025673660.00,125.811514423130,1.1596220367647,18755612.5,9.291666667
12/07/2021,27887294.46842590000,14363025673660.00,125.859390582989,1.1771021190476,18754662.5,9.5
11/07/2021,27450462.48836790000,14363025673660.00,164.155807778688,1.1105243040000,18753800,6.6
10/07/2021,34562838.34397250000,14363025673660.00,184.568432332989,0.8405945527950,18753150,5.283333333
09/07/2021,28042394.08723740000,14363025673660.00,123.257311018972,1.2597139847328,18752043.75,8.333333333
08/07/2021,29946768.12842670000,14363025673660.00,129.195056530239,1.0300185755396,18751337.5,8.266666667
07/07/2021,27871474.45653530000,14363025673660.00,125.985862740693,1.1737401219512,18750381.25,10.18333333
06/07/2021,31922406.81313200000,14363025673660.00,139.839436887019,1.0970254436620,18749743.75,7.779166667
05/07/2021,29781454.42373560000,14363025673660.00,133.095523881550,1.3275864469697,18748831.25,9.025
04/07/2021,26850966.69482510000,14363025673660.00,156.246532992872,1.4411636086957,18748031.25,12.475
03/07/2021,29286315.15630240000,15634861856766.10,123.330014176113,1.4204676220472,18747300,14.00833333
02/07/2021,20787750.55088920000,19932791027263.00,110.240075468208,1.4039171777778,18746512.5,15.75
01/07/2021,22482193.59954810000,19932791027263.00,97.641262435443,1.3928209684211,18745775,20.3
30/06/2021,21597056.01010780000,19932791027263.00,98.736620781899,1.3593472921348,18745206.25,15.1
